"meth","lhs","op","rhs","est","se","2.5%","97.5%"
"dr","FAMILY__2","~~","FRIEND__2",0.111455916838125,0.0220279007228101,0.0677201270806749,0.153247633144015
"dr","FRIEND__2","~","AGE",0.0853475167349146,0.0702739948836533,-0.0490140545841047,0.225683350643919
"dr","FRIEND__2","~","FAMILY__1",-0.135298907387993,0.0918243677323325,-0.305936194972114,0.0714669270839415
"dr","FRIEND__2","~","FRIEND__1",0.0143463040768335,0.0545150181635101,-0.097334580179004,0.125145327581913
"dr","FRIEND__2","~","GENDER",0.0355875620125188,0.0702528371184432,-0.10758298271329,0.166656119729117
"dr","FRIEND__2","~","INCOME",0.143250534418703,0.0834240718008141,-0.0212663005911318,0.303838436045017
"dr","FRIEND__2","~","LONELY__1",-0.0530880209331577,0.0690291145636751,-0.187686499732644,0.0750257932859504
"dr","FRIEND__2","~","LONELY__1_x_FAMILY__1",0.0384599354938598,0.123771749621869,-0.20447591829261,0.284056640342819
"dr","FRIEND__2","~","LONELY__1_x_FRIEND__1",-0.0552599453373207,0.0745712678109223,-0.207663067380638,0.0815852853588419
"dr","FRIEND__2","~","RACE",0.0734800421874578,0.0871967546138277,-0.1010066602476,0.235788295084939
"dr","FRIEND__3","~","AGE",-0.0283411462794662,0.0732141272064741,-0.18338776499462,0.11659405539484
"dr","FRIEND__3","~","FAMILY__1",-0.0811937628386114,0.0690356797960585,-0.22155933039414,0.0503057510423725
"dr","FRIEND__3","~","FAMILY__2",-0.197755642974969,0.093357860905931,-0.364809267708733,0.00216543299443166
"dr","FRIEND__3","~","FRIEND__1",0.0463102981544449,0.0395819507094545,-0.0303223199553479,0.121192093803793
"dr","FRIEND__3","~","FRIEND__2",0.101283974727433,0.0542776336249257,-0.00825228661397419,0.199794282146452
"dr","FRIEND__3","~","GENDER",0.0370374138404808,0.0730506929782393,-0.104410591899129,0.187912626260948
"dr","FRIEND__3","~","INCOME",0.0533507325785957,0.0904576212266966,-0.132755359659509,0.233407593100886
"dr","FRIEND__3","~","LONELY__1",-0.24348791784217,0.0761968631508326,-0.381625502147074,-0.0875473174394872
"dr","FRIEND__3","~","LONELY__2",-0.205573093857294,0.0718366241423646,-0.339397095858225,-0.0653507156739307
"dr","FRIEND__3","~","LONELY__2_x_FAMILY__2",0.240385679549905,0.131376665899368,-0.0268400987156292,0.473728713171363
"dr","FRIEND__3","~","LONELY__2_x_FRIEND__2",-0.0915658621976834,0.0844481443459121,-0.248972993388111,0.0735414620049215
"dr","FRIEND__3","~","RACE",-0.196974953846407,0.0884174022772347,-0.369977253516665,-0.021546653623541
